Comment,Neutral
"If you benefit from this video please do support our channel growth by subscribing to our channel, so we can keep bringing more content for you :)",Positive
"just tested positive for the first time 2 days ago, had a really bad sore throat and feeling weak. im on day 3-4 n ngl i feel fine. woke up without a sore throat n feeling fine. only a runny nose. im 21, n a heavy smoker",Positive
I have been very blessed to never get Covid! Must be doing something right 🙏🏽,Positive
"That's mean I have coronavirus in 2023 year,I can't breathe",Negative
"it's weird. all i'm having is runny and clogged nose, sore throat and trouble sleeping and after two days i'm already feeling better",Negative
Back?,Neutral
"Dealing with Covid right now, and let me tell you there ain't a chance in hell this is a naturally occurring virus, it's so weird how it attacks everything one thing at a time, like at 3 am I feel like puking, 4 am I'm fine, go to bed, wake up at 6 with the worst headache ever, then I feel fine then a 38 degree fever, then I feel fine. Then extremely weak... it's just so all over the place",Negative
I had it twice now I’ve been vaccinated when I joined the Military now today I have it again it’s coming for me. I’m a dead man walking kinda I’m sleeping in the shower with hot water it’s the only way I can,Negative
Fake news!,Negative
I had this and I was a teenager but I was tired had a cough   I was fine like a few days later After taking long naps,Negative
"I have had clovd since February 28, 2023.",Neutral
I had coronavirus for 1 day and it ended,Neutral
"You can’t tell me China didn’t make this virus… there’s never been a virus in history that’s attacked the way this one has. The sheer amount of symptoms you get from this virus just proves it’s a bio weapon! It can kill you in so many different ways and can even cause other serious health problems after you’ve healed! I’ve had it 3 times, the second time being the worst with chest pains. I pray this goes away…",Negative
Me sb Kuch,Neutral
Is this when/how it all began?,Neutral
These were horrible times. I’m glad it’s behind us.,Negative
Actually I got covid 2 times and this might be the 3rd I actually just got tired the first 3-4 days and then it’s like I don’t even have covid,Negative
"Me and my son just got our COVID test back and this is like the 3 time I have had it the, first time I didn't have the type of system 3 time I have horrible fever at this point pray for me",Negative
I'm only 9 dose that mean I'm gonna die please pray for me,Negative
"I just was diagnosed today February 10, 2023...I feel run down, can't smell or taste and have sore throat",Negative
I just watched this video am doomed am in Mt day5 I'm spitting lugueis trying to get rid of flem wish me luck,Neutral
I caught covid$19.99 and it was nothing but a flu to me 🤷🏽‍♂️,Neutral
I feel like I have it even though I haven’t tested.,Neutral
You know what I think is full of SHIT,Positive
Oh no,Neutral
They made this mess in the lab I hope that they suffer for everybody was supposed to buy this whoever made it in the lab,Negative
I got through covid by sitting in the same place and meditating for 20 days,Neutral
"I tested positive On Jan 16th. Body pain, fever and fatigue. The worst chest and back pain ever on upper left side. On Thursday chest pain is easing up a little but I'm coughing have green mucus and sore throat.  I actually ate a apple today after not eating the last couple of days. My taste is completely gone. My smell is gone but I can smell the cucumber juice I was drinking. I was able to take a shower today. Should I take this as me getting better or be worried that I'm not out of the danger zone. I'm still sweating really bad. This is the first time I have had covid. My husband tested positive on Jan 13th. He seems to be feeling better up on his feet the last 3 days but now seem to be getting tired and coughing alot. He does not have the chest pain that I have. I'm really scared. My 18 year old son lives with us but did not test positive. I pray that he does not get this.",Positive
Zofran saved me during covid,Neutral
"It might be sound weird, many people could take it as a joke but it is my two and a half decades experience of the hellish pain of pneumonia and inflammation. It is not a superstitious thing. It is a theory of Ayurveda and I strictly applied this thing upon myself for years . I used to face respiratory infections severely I have faced unending inflammation for decades, a small scratch on my body used to become a huge wound that took months to get treated. Now it's been three years I won't face neither pneumonia nor inflammation. A human body does take 11 to 15 days to produce antibodies against any virus and a human body is capable to beat covid 19 too, but it needs time, now what I am going to tell you, it is a natural way to avoid the over inflammation and pneumonia. When antibiotics stopped working and doctors had no cure. I followed this Ayurvedik theory. I have a very sensitive body and if I eat a thing that is slightly inflammatory, my body becomes sensitive and I either face  pneumonia or Inflammation severely and if I eat something fried, Highly acidic or spicy, my stomach gets  disturbed and I face diarrhea severely, it does take 10 to 12 days to get it treated, the doctors say that it is an another form of Inflammation or hypersensitivity of the intestines. And if I control my eating habits, I face no problem. It took me more than 20 years to sort out these foods. Apply the following diet plan for eighteen to twenty days during covid 19 infection and you have no fear of any sort of pneumonia and inflammation. This might be an alternative to treat over inflammation and pneumonia without any medication. 
Non - inflammatory food list 
1. All the meaty products [everything, like eggs,  pork, beef, mutton, chicken, fish etc.(eat them  grilled or boiled or you can use  pure butter clarified to cook them )] . 
2. Oatmeal, Wheat and all the products that are made from pure, Oatmeal and wheat,( not biscuits, bread or cookies because they contain vegetables oil). 
3. Masoor dal. 
4. All the Dairy products (they must be made from pure animal milk like butter clarified,  curd, cheese, fresh milk ). 
5.  Turmeric powder, red chili powder , white sugar, sea salt,tea, butter clarified. 
6. Because a human body needs vitamin  c, so to fulfil  this need you should eat Lemon, apricot, green or red chillis or connimon, these things are non inflammatory too. 
Note- many people think and they  have observed that the curd, white sugar and lemon are inflammatory things but I make you sure they aren't, because with the suggested diet plan ,  curd, white sugar and  lemon will never be inflammatory.  (curd, white sugar and lemon are not inflammatory things but when you eat something inflammatory, they act like catalyst.) 
The patient has to apply this diet plan very very strictly because consumption of a single fruit,dry fruit(except apricot),vegetable or vegetable oil, onion, garlic, ginger, green beans, green leaves(green leaves are slightly inflammatory) and all non suggested cereals , lentils and a little thing except the suggested diet may affect the whole result, so apply this thing strictly for eighteen to twenty days  and see the result by yourself. 
Note- feed your infants with mother milk or pure animal milk with mixed apricot powder[ because animal milk doesn't contain vitamin' c'] (and search the history around you, an only breastfeeding child never gets pneumonia severely when I first got pneumonia I was three years old and I have searched this thing too. I didn't get a signal child who had  faced pneumonia under one year of age that been feeding only mother milk.) ( formula  milk acts like a poison during the covid 19 infection because it contains vegetables oil .
(if the patient follows this diet plan strictly his body acts over covid 19 like an ordinary person's body does, he may  get affected  but  never faces the worst.)
(covid 19 is fetal for those patients whose body act overwhelmingly on covid 19 because if  someone's body doesn't act overwhelmingly, it's nothing but a different sort of comman cold for him  , so this is the diet plan if you follow this diet plan your body never act overwhelmingly on covid 19 and you are safe). For some patients Inflammation is a problem that won't have  a perfect cure since ages. Now I make you sure that you can control your worst inflammation problem by controlling your eating habits. You don't need to take a single antibiotic and asteroid but you need to control your eating habits very very strictly for 20 days and if you would do so your body never get over inflammation.(To understand this thing how covid 19 and other respiratory infections kills a patient search '' how covid 19 kills'' on YouTube channel *MED CRAM or NUCLEUS MEDICAL MEDIA ) 
Note : apply this diet plan strictly if you get affected otherwise eat everything what is healthy for you and wear a mask.
[last year a doctor uploaded a video on YouTube saying that she had applied this thing on her patients and she offered her patients a diet without containing glucose( mostly meaty foods) and on her surprise she got that covid 19 could not have survived for more than  four days in patients' body . I don't know why but that video was removed from YouTube after one and half hour later. YouTube also has removed my channel once too. It is my new channel please take a screen shot of this paragraph because this channel could be removed from the YouTube platform].🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🏵️🌱🌱🌱🌱🌱🌱",Positive
I have covid but feel like I can run a mile,Neutral
This video is a complete joke now.,Positive
How come you don’t explain the medication protocol used to heal.,Neutral
Its America we don’t use Celsius,Neutral
Covid for the second time. Again loss of taste and smell. 😭😭,Neutral
"Actually, I kinda came here to tell ya'll my belly hurts alot and I'm having diarhrea",Neutral
"My son gave it me to me, 4 year old has no symptoms nothing. Omg",Positive
I am watching it again in 2023 for some weired reason,Neutral
"This video is scary because its making it seem like everyone will be in the hospital,I should not have watched it",Negative
"For God's sake, please do not get the shot! Take 500- 1000% vitamin c, 500- 1000% vitamin d, and 300% zinc the first sign of symptoms! This will relieve the severity of the symptoms dramatically!! My prayers with you all!",Positive
I actually have it right now .,Positive
I am in day 3 got infected on new year '23,Positive
Report as misinfo,Neutral
Tured it off the minute China was part of the study.,Neutral
"All of a sudden i developed a fever and hot and cold shivers. About a week before, i had diarrea  and sore-ish lips for about 2 months. I've been going hot and cold for nearly two days.",Negative
