🤣🤣🤣🤣🤣🤣🤣,Neutral
new variant - MS.BS.24/7-365,Positive
What controls random ?,Negative
Random vs war,Negative
Sore curse to the world,Neutral
anyone here dumb enough to give yourself a permanent auto-immune disease because immoral doctors were murdering people with ventilators? congrats on being less than human.,Negative
I'm curious how many pandemic deniers have a medical degree 🤣,Positive
What a crock of shyt lol,Positive
Disgusting propoganda. Everyone involved in this production should be in jail for rest of life,Negative
I believe I had COVID-19 before but I wasn't really sure so basically I never had covid with or without the vaccine,Positive
To think now we know it was all an attempt to transfer wealth from the trusting public to the richest!,Neutral
What this storey did was inject terror into people. It did so without constraint and without thought for the consequences.,Neutral
"It was a clear warning, but governments and people doesent take it seriously. My country Hungary passed the first wave with only a few deaths. But during the 2nd and 3rd wave it was terrible. I lost two of my firends and my mother-in law. Hungarian hospitals are looked like in this video. Our government hesitated too much to introduce curfews and lockdowns, the result is ~50.000 death in Hungary.",Negative
Does it say how doctors and nurses administered midazolam and morphine and killed COVID patients who would've otherwise been fine? Look it up! Don't trust medical establishments!!,Positive
lol good film,Positive
How come it felt like a weak cold to me? After 3 days I felt perfect? My relative youth maybe?,Positive
im here in 2023 i didnt take  any vaccine and watching this video feel like what  those were doing ?? i feel like i was stupid to believe this news,Negative
"I remember I thought it was all a joke,it was bigger than that",Neutral
,Neutral
2020.... Smh🤧😷🙏 Let's go into the future...... 2023,Neutral
"My twin sister managed to survive this exact scenario in South Africa when the 1st covid strain came about. People were dying all around her. She has long covid now but is finally, getting much stronger. Good nutrition and slowly getting fitter has helped. Glutathione supplement, zinc, A, D and B complex too. Take care everyone.",Positive
"Latin to English

Cor ona virus = heart attack virus",Neutral
"No one knew back then how it would all turn out to be… lockdowns, depression, inflation, wars… it was the start of something we’ve never experienced",Negative
"It’s crazy how covid used to be this deadly. Right now, no one cares about it",Negative
😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
FAKE News,Negative
I worked during the pandemic in a nursing home. Reading comments it is fake.... I wish that was true. Fall/winter 2020 was a nightmare lost half the residents to covid.,Negative
the doctor are only there to help because they get paid. thats not true empathy.,Negative
Lol @ the reporter. He is taking no chance whatsoever.,Positive
These are actors. Fake,Negative
"Covid..... Fact or fiction??
So made trillions out of nothing at all!!",Neutral
"Stop it! This was 2 years ago. It's past.
Don't create fear,it's not a decent way to behave.",Negative
"Seems Not many healthy peeps are dying from it.  Sucks but any virus impacts the unhealthy and aged the most.  Take charge of your own health and Exercise,  staying healthy is best option to beat it.  Aren’t any jab or pill cures for it.",Positive
Lies,Neutral
Reused footage lol,Positive
RIP to its victims.,Neutral
2 years later morons still deny it happened.,Negative
Such a bad pandemic film crews allowed into hospitals and Hollywood still were making films while businesses had to close.... Clown World...,Negative
I won’t be surprised if some of those who commented here in 2020 under this video have passed due to the pandemic 😭,Negative
"The fact that this video was published in march 2020, when much of the world was still in the dark of the impact this virus could have or were busy downplaying the virus, to fulfill their political agenda is appalling.",Negative
Lol 2 years later and there's still ppl falling for the bs 🤣,Positive
Remember  things are not always as they seem ... Smoke n Mirrors  ...,Neutral
😂😂😂,Neutral
Fake as hell xDDD,Negative
And now we know it was all a scam.,Neutral
was the head of emergency care wearing a hoodie?,Neutral
stood around a patient squeezing the bubble thing,Neutral
"And just 1 year later,are the doctors and nurses not even allowed to work IF they don't have 2 and 3 jabs. They are at home since dicembre 2021, without being payed.
Many of the best doctors that have cured and saved 1000 of life are OFF...
Explain that...🤔😥",Positive
I hope the Chinese government are happy with themselves for having caused all this,Positive
"Lies lies lies    we know the truth now 
Borris and his parties have blown away any credibility that covid was a threat 
Time for inquiry  commissions and jail time",Negative
They’re all obese,Neutral
很可怕 現在還有新變種病毒,Neutral
"Until today less than 15% of the African continent has had a single Jab of the covid-19 vaccine. That is how much the West cares. Some countries like the UK have enough vaccines for the population 10 times over.
This Western wickedness and injustice will never be forgotten.",Negative
BULLSHIT.,Neutral
cov id- 19 has them stuck.... welcome to caterham mental facility. prof.confaiinnman is the front,Positive
"certo che è pieno di idioti il mondo, dovevate esserci per capire...... ma va bene cosi il mondo è anche vostro",Neutral
FAKE FAKE FAKE FAKE FAKE FAKE FAKE FAKE FAKE FAKE,Negative
The doctors are killing there patients  not bullshit covid,Neutral
Now 2yrs down the track how many of the comments now feel foolish an conned by this rort.,Positive
This is the video that was used in different countries claiming to be their countries,Neutral
Fake...,Negative
Watching this in 2022,Neutral
🎬,Neutral
What aload of BS,Neutral
"Ukraine has won the war and Russia has lost the war, the people of Ukraine fight the enemy strongly with weapons, stones, wood, thorns, bombs, petrol bombs, guns, drones, from abyss, in the jungles, people of Ukraine save their country  5 crore Ukrainian people, which can also be called Ukrainian 5 crore army.",Positive
So much bollocks on this video.,Positive
Sadly there are some people who still don't want to get vaccinated against this serious illness. That's why I got vaccinated.,Negative
Vaccine damaged patients.....,Neutral
this was such a fake,Negative
I lost my aunt because of coivd In 2021 she passed away,Neutral
Mamma mia che brutto ricordo speriamo bene😔♥️😢,Neutral
we all know now these reports are over dramatised,Neutral
Finally aftr two years things have normalised again.. thanx nature for not being so cruel,Negative
Covid 19? Modcheck,Neutral
The shocking centre of the COVID-19 crisis - Actors.. look at this guy at 3:10 ... they just murdered the older people by air and in the Hospitals,Negative
Trump's fault,Neutral
Amen,Neutral
"This was part of a documentary.  I'm trying to find the full video.  Does anyone have a link, please?",Positive
Still pushing the B/S I see,Neutral
2 years ago,Neutral
More bullshit,Positive
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahhaahahaha,Neutral
"THIS IS ""EXACTLY"" WHAT HAPPENS WHEN CITIES OPEN UP TOO SOON DURING A DEADLY PANDEMIC. NO MASKING NO VACCINES THINKING THEY'LL BE FINE IN CROWDS. YET TRUCKERS PROTEST AGAINST MANDATES TO KEEP US ALL SAFE FROM ""THIS"" !!!!!!!!!",Positive
Oh bet those masks worked lmao what a sham this was if was as serious as they say none them doctors and nurses would been able be around them unless have full body suit with gas mask on. Alot ppl die from flu also u just don't hear about it because they can't scare us with the flu,Positive
What a load of crap!!,Negative
Thanks for the good work,Positive
those nurses are heros,Neutral
This can't be happening,Neutral
LIERS! LIERS! LIERS!,Neutral
Lies,Neutral
Liars,Neutral
Filming in a epic center?,Neutral
Looks like a film set to me,Neutral
Doctor has no mask?,Neutral
At the beginning they killed more people with the botched treatment.,Positive
We still need more of these disturbing pictures in the daily news!!!,Neutral
"All bullshit we know..... definitely 96% never would get this stupid plastic bags on their heads,,,,but hospitals instantly got money for every ""corona"" patient. In Germany 50.000€ for every patient. Its the biggest scam of mankind. No excess mortality nowhere.",Negative
"Iies , lies , lies 👍",Neutral
Why are they showing this bullshit from last year they must be running out of the bullshit videos 😡😡😡💥💥,Neutral
Don’t ever forget,Neutral
Isn't this footage from 2 years ago?,Neutral
Crisis Actors. More fkn bullshit,Positive
TIMBER,Neutral
This video is a lie.,Neutral
https://youtu.be/HWAKbK4YAVY,Neutral
"https://youtu.be/2GDLOvsp-SQ?list=LL people should take precautions when it comes to Covid but Covid won't wipe out humanity.   Everything that is happening in this world not counting Covid is just God trying to get this world's attention to coming events like the Rapture, 7 year tribulation and 2nd coming of Christ.     The Seal, Trumpet and Bowl Judgements which is happen in the 7 year tribulation will be a million times worse than Covid.",Negative
Two years ago. Still they don't know what to do about it. Only a mandate of the gen therapy...? Even that was a completely failure.,Negative
How quiet was that hospital in background when unmasked doctor was chatting,Neutral
The unmasked doctor chatting lol,Positive
So busy has time to chat too a reporter then show fake picture of coffins,Negative
"I am from milan italy 
All bullshit 
This is an artificial virus 
It is made for killing the old people and weak people",Negative
Wasn't this filmed last year??,Neutral
Beautiful Actors Bravo Bravo,Positive
BOLOX!!!,Neutral
"Its weird it keeps hitting the Italians so hard, almost as if the virus has been engineered to do so !",Negative
Maybe if they gave them the medication that actually worked it wouldnt have been so bad.,Negative
"Damn i remember how scary this was watching in 2020, it felt like we were going to war with an invisible enemy. As someone who is immune compromised i literally spent the first 6 months of the pandemic inside my house only going out to get food supplies and exercise. I remember everyone on our street coming out to clap and bang pots every thursday for the nurses -no one knew if a vaccine was even possible at that time. 

All we could do was socially distance and stay in lockdown i was terrified everyday of losing my family to the virus, many of my friends lost parents and relatives. In the uk 150 thousand people lost their lives to covid It's something that i will never forget.",Negative
ivermectin?,Neutral
"FAKE NEWS - THE SAME CRAP HAS BEEN PLAYED ACROSS THE GLOBE, EACH CLAIMING IT TO BE THEIR OWN PROBLEM = PURE BULLSHIT, WAKE UP SHEEP",Negative
Old clips why the bullshit,Positive
who's here because of the project in English?,Neutral
And don't forget it is absolutely required. WW2 baby boomers need to be disposed in a pandemic way to avoid accusations. Otherwise they'd cost too much.,Positive
Now it's December 2021 and we can now look back and realise it's all boll**ks and we've been played.,Neutral
well this all didnt age very well hahaha,Positive
remember when we thought this wasnt recorded in a staged tv set hahahaa,Neutral
GHISLAINE MAXWELL CASE DISTRACTION VARIANT,Neutral
This is all staged.,Neutral
Fake new,Negative
https://youtu.be/BJPIifeu_yI,Neutral
Filthy Liars. Crimes against humanity.,Negative
Don't take vaks!,Neutral
နန်းကိုလည်းကိုဗစ်ရောဂါပိုးတွေကိုနန်းအခန်းထဲရောက်အောင်ထဲ့ပြီးလုပ်ကြံခဲ့တာ ဦးကျော်သိန်းဇံ KTZ company limited မြန်မာနိုင်ငံအမေဇုံစီးပွားရေးလုပ်ငန်းရှင် ကဟားဗက်တက္ကသိုလ်ကနူးကလီးယား‌ပရောဖက်ဆာဘွဲ့ယူပြီးလူလိုက်သတ်နေတာကိုWHO ကကြည့်နေတာလားရှင့်,Negative
နန်းသမီးလေးကိုယ်ထဲကိုကိုဗစ်ရောဂါပိုးတွေထဲ့ကြတာလား,Neutral
We all realise now this was fake news,Negative
Same footage decided to be shown on each news network set in different countries,Neutral
I saw a hospital full of already unhealthy and old people.,Positive
"filthy lies, and the evidence is mounting. Some of us have been archiving for the last 20 months.",Negative
Fire actors great job everyone,Positive
https://youtu.be/GDF0NIny6rI,Neutral
"As smart as we know humans are, why don't we quarantine the patients?",Positive
Lies,Neutral
Hahaha and now a year later all these clips have proven to be nothing but a staged event in order to scare people into getting the Clotshot aka untested jab. condolences to the families of thousands of those that died who believed their lies.,Positive
Already saw so many fake videos from so many countries.,Positive
Covid is face,Neutral
Propaganda film. And it worked.,Negative
L,Neutral
UN,Neutral
Id rather kill myself,Neutral
It’s a been a f*king year.,Neutral
They are all old and fat. Covid doesn’t touch anyone healthy. Healthy lifestyle should be promoted over vaccines.,Positive
Sure,Positive
Is this before or after your reporters Beth Rigby and Kay Burley broke the covid rules😉,Neutral
"Casualties topped 1 million, including the deaths of more than 300,000.  sustained 420,000 casualties—including 125,000 deaths. The casualties also included 200,000 .....sorry that was the battle of the Somme",Positive
How sad.  Bet they’ve all been double jabbed,Negative
"sad when we see this on one of the uk Government propaganda channels , we just dont believe what we see ,",Negative
"Does anyone realise how early covid news has loads of likes, in contrast to recent ones?",Positive
Good old China,Positive
Antivaxxers: Duhhhhhhhh it must be space Biden Aliens I'm a smart cookie (they say as they slobber all over themselves). This is their fault and we should go on a witch hunt for their heads!,Positive
Well the vax’s are working really good I see.,Positive
Lies lies lies lies lies,Neutral
Staged,Neutral
So these folks got the jab? Wake up people or we'll be taking care of our loved ones,Positive
being murdered more accurately,Positive
"here's the deal""""""""1st dose to kill 15%, 2nd dose to kill 30%, 3rd to kill 50-70%.""""",Neutral
Best of luck Italy,Positive
"*Preparing Mark of the Beast System* The Lord’s coming and the False Prophet

*WAKE UP* .",Negative
A year later and no one learned a damned thing.,Neutral
It is the flu. I have had both as well as pleurisy and pneumonia and it’s no different.,Neutral
"I can’t believe people actually fell for it, still don’t know anyone who even got sick",Negative
I saw the unedited version. The part where they shout CUT at the end!,Neutral
The health professionals are brave,Positive
Spielberg behind the camera?,Negative
"this was march 2020. I am wondering if any Italian can tell me how it is there now? And are those who have had the jab, are they now getting sick? This is what seems to be happening everywhere else. Ciao Bella and Bello's...Much Love to Italy from down under! xoxo",Negative
All because of a lab leak in China.,Neutral
The government knew of this.   They want this.   Good luck on that vaccine,Positive
Fake news.   This is what they showed as being a hospital in America,Negative
Great actors,Positive
So deadly that the press were allowed in to film???,Negative
Care devices manufacturer must put a customizable ringtones in their machines in the future,Neutral
Scare Demic,Neutral
The world is a stage,Neutral
"Most recovery , those that doesn't are in poor health or elderly .",Positive
No actors were harmed in the making of this film.,Neutral
Rss is indian tererist organization,Neutral
Ironic that infections and vaccination seem to be linked.,Positive
"All due to a lab leak. And cover up the NIH who is responsible for practicing gain of function research , with Dr Fauci at the helm .",Positive
"so 1 year later, do people understand the truth yet? only 1 video that is in circulation of so called 'coronavirus' patients....  most people on that ward were short of breath from heart failure, pneumonia and other causes",Positive
Blah blah blah blah blah ....load of bullshit,Neutral
No actors were harmed during the making of this segment....,Neutral
No actors were harmed during the making of this segment....,Neutral
"The hurt soil lilly poke because sock therapeutically haunt up a torpid purple. abnormal, disillusioned dashboard",Neutral
.,Neutral
Italy had warned the other States but no one listened it,Negative
Fear mongering,Neutral
"Where the plan started 
It's all going well
Love Matt",Positive
India now,Neutral
God help doctors who is doing duty in this period God save doctors also  ...,Neutral
Who’s here in 2021,Neutral
This is India right now,Positive
"This was the report that made me realise how serious covid was. Before this I just thought it would be another SARS or Bird Flu or Ebola, that it wouldn’t really get to the UK but this report terrified me.",Negative
I’m hoping everyone will be okay my sister is a nurse and I could not see her for 3 months I saw her on FaceTime and a window and she worked at ICU she could not get tested at the time I pray that everyone makes it Thur amen🙏,Positive
"In Europe it's geninue covid-19,in India it's a gameplay by government.During election rallies,corona say good bye,during Ramadan corona say hii to indians.",Positive
Propaganda..,Negative
Why did the reporter have better PPE than the actual hospital staff?,Positive
Fake news,Negative
